Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src/ApplicationCore/ApplicationCore.csproj,File,src/ApplicationCore/ApplicationCore.csproj,,,System.Security.Claims 4.3.0,,,,,"System.Security.Claims, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/ApplicationCore/ApplicationCore.csproj,File,src/ApplicationCore/ApplicationCore.csproj,,,System.Text.Json 8.0.3,,,,,"System.Text.Json, 8.0.3  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.8"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src/ApplicationCore/ApplicationCore.csproj,File,src/ApplicationCore/ApplicationCore.csproj,,,System.Text.Json 8.0.3,,,,,"System.Text.Json, 8.0.3  Recommendation:  System.Text.Json, 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src/ApplicationCore/ApplicationCore.csproj,File,src/ApplicationCore/ApplicationCore.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src/ApplicationCore/ApplicationCore.csproj,File,src/ApplicationCore/Exceptions/EmptyBasketOnCheckoutException.cs,11,153,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src/ApplicationCore/ApplicationCore.csproj,File,src/ApplicationCore/Exceptions/EmptyBasketOnCheckoutException.cs,11,153,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/BlazorAdmin/BlazorAdmin.csproj,File,src/BlazorAdmin/BlazorAdmin.csproj,,,Microsoft.AspNetCore.Components.Authorization 8.0.2,,,,,"Microsoft.AspNetCore.Components.Authorization, 8.0.2  Recommendation:  Remove Microsoft.AspNetCore.Components.Authorization, and replace with new package Microsoft.AspNetCore.Components.Authorization 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/BlazorAdmin/BlazorAdmin.csproj,File,src/BlazorAdmin/BlazorAdmin.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 8.0.2,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 8.0.2  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/BlazorAdmin/BlazorAdmin.csproj,File,src/BlazorAdmin/BlazorAdmin.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.Authentication 8.0.2,,,,,"Microsoft.AspNetCore.Components.WebAssembly.Authentication, 8.0.2  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.Authentication, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.Authentication 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src/BlazorAdmin/BlazorAdmin.csproj,File,src/BlazorAdmin/BlazorAdmin.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 8.0.2,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 8.0.2  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.8"
